By Category (ADS-SPO),Terminal Server Licensing,Ts,.,
By Category (ADS-SPO),Tomcat,Tomcat,.,
By Category (ADS-SPO),UPCconnect GUNI,UPCconnect,.,
By Category (ADS-SPO),UPCconnect,UPCconnect,.,
By Category (ADS-SPO),VMware,VMware,.,
By Category (ADS-SPO),VPN - UPC,UPClink,.,
By Category (ADS-SPO),VPN - Z2,,obsolet,
By Category (ADS-SPO),Web Departamental - Bramante,,obsolet,
By Category (ADS-SPO),Web Edicions UPC,,obsolet,
By Category (ADS-SPO),Web UPC,Web UPC,.,
By Category (ADS-SPO),Web UPCnet antiga,,obsolet,
By Category (ADS-SPO),Web,,obsolet,
By Category (ADS-SPO),Windows 7,GET - Gestió d'Estacions de Treball,.,
By Category (ADS-SPO),Windows NT,,obsolet,
By Category (ADS-SPO),Windows,Windows,.,
By Category (ADS-SPO),WIRIS WEB,,obsolet,
By Category (ADS-SPO),Xarxa KIC-Innoenergy,Xarxa KIC-Innoenergy,.,
By Category (ADS-SPO),Xarxa Sense Fils DIBA,XSF DIBA,.,
By Category (ADS-SPO),Xarxa Sense Fils UPC v.2.0,XSF UPC v2.0,.,
By Category (ADS-SPO),Xarxa Troncal,Xarxa Troncal,.,
By Category (ADS-SPO),Xarxes LAN,Xarxes LAN,.,
By Category (ADS-SPO),ZZ - Procediments Aturada CPD,,obsolet,
By Category (ADS-SPO),ZZZ - Esborrar al 2011,,obsolet,
by Category (KBTIC-RIN),(Sin categoría),,,
by Category (KBTIC-RIN),0 - CONTENIDO DE ESTA BD,Plantilles documents,,
by Category (KBTIC-RIN),01 - UTILIDADES,,obsolet,
by Category (KBTIC-RIN),Active Directory,Active Directory,,
by Category (KBTIC-RIN),Actualització de continguts en el Web UPC,Actualització de continguts en el Web UPC,,
by Category (KBTIC-RIN),ACUP - Doc6,,obsolet,
by Category (KBTIC-RIN),Address Book - PAB,Address Book - PAB Notes,,
by Category (KBTIC-RIN),Adminpack,Adminpack,,
by Category (KBTIC-RIN),Adquira,,obsolet,
by Category (KBTIC-RIN),Altes Estudiants,,obsolet,
by Category (KBTIC-RIN),Alumni UPC,Alumni UPC,.,
by Category (KBTIC-RIN),Amics,,obsolet,
by Category (KBTIC-RIN),Antivirus,Antivirus,.,
by Category (KBTIC-RIN),Aparador,,obsolet,
by Category (KBTIC-RIN),APS,,obsolet,
by Category (KBTIC-RIN),ARA,,obsolet,
by Category (KBTIC-RIN),Archibus,Archibus,.,
by Category (KBTIC-RIN),ARI,ARI,.,
by Category (KBTIC-RIN),Atenció Immediata,Atenció Usuaris,.,
by Category (KBTIC-RIN),Atenció telefònica Centraleta UPCnet,Atenció Usuaris,.,
by Category (KBTIC-RIN),Atenció Usuaris,Atenció Usuaris,.,
by Category (KBTIC-RIN),Atenea,Atenea,.,
by Category (KBTIC-RIN),Backoffice,,obsolet,
by Category (KBTIC-RIN),Backups,Backups,.,
by Category (KBTIC-RIN),Bases de dades bibliogràfiques,,obsolet,
by Category (KBTIC-RIN),Bi,Bi,.,
by Category (KBTIC-RIN),Bibliotècnica,Bibliotècnica,.,
by Category (KBTIC-RIN),Bizagi,,obsolet,
by Category (KBTIC-RIN),Blackberry Enterprise Server,Blackberry,.,
by Category (KBTIC-RIN),Boyce,,obsolet,
by Category (KBTIC-RIN),Cacti,Cacti,.,
by Category (KBTIC-RIN),Campus Digital - Atenea Mobil,Campus Digital - Atenea Mobil,.,
by Category (KBTIC-RIN),Campus Digital - Atenea1x1,Campus Digital - Atenea1x1,.,
by Category (KBTIC-RIN),Campus Digital - AteneaSaurus,Campus Digital - AteneaSaurus,.,
by Category (KBTIC-RIN),Campus Digital - Externs,Campus Digital - Externs,.,
by Category (KBTIC-RIN),Campus Digital - Moodle,Campus Digital - Moodle,.,
by Category (KBTIC-RIN),Campus Digital - OFA/SDP,Campus Digital - OFA/SDP,.,
by Category (KBTIC-RIN),Campus Digital,Campus Digital,.,
by Category (KBTIC-RIN),Canal UPC TV,Canal UPC TV,.,
by Category (KBTIC-RIN),Canvis de contrasenya,Canvis de contrasenya,.,
by Category (KBTIC-RIN),Carnet UPC,Carnet UPC,.,
by Category (KBTIC-RIN),Carrega Estudiants al PAB EST-UPC,Carrega Estudiants al PAB EST-UPC,.,
by Category (KBTIC-RIN),CAS - Central authentication service,CAS - Central authentication service,.,
by Category (KBTIC-RIN),Catàleg de les biblioteques de la UPC,,obsolet,
by Category (KBTIC-RIN),CBL,CBL,.,
by Category (KBTIC-RIN),CCE Renove,CCE,.,
by Category (KBTIC-RIN),CCE,CCE,.,
by Category (KBTIC-RIN),Cerca d'adreces de correu en webs vulnerables a l'spam,,obsolet,
by Category (KBTIC-RIN),Cercador UPC,,obsolet,
by Category (KBTIC-RIN),Certificat digital,Certificats,.,
by Category (KBTIC-RIN),Certificats arrels webs UPC / UPCnet,Certificats,.,
by Category (KBTIC-RIN),Certificats,Certificats,.,
by Category (KBTIC-RIN),Circinus,Circinus,.,
by Category (KBTIC-RIN),Clients Externs UPCnet,Clients Externs UPCnet,.,"Eva, són campus... els podem canviar de categoria?"
by Category (KBTIC-RIN),CLOUD Privat UPC,Cloud privat upc,.,
by Category (KBTIC-RIN),Cluster DN,Cluster DN,.,
by Category (KBTIC-RIN),CMSW,CMSW,.,
by Category (KBTIC-RIN),Col·laboratoris,Col·laboratoris,.,
by Category (KBTIC-RIN),Connexió Remota VNC,Connexió Remota VNC,.,
by Category (KBTIC-RIN),Consoles,Consoles,.,
by Category (KBTIC-RIN),Consulta web administradors del Servei d'Economia de SAP,Consulta web administradors del Servei d'Economia de SAP,.,
by Category (KBTIC-RIN),Consultoria Ofimàtica,Consultoria Ofimàtica,.,
by Category (KBTIC-RIN),Contingencia de CMDB Intranet Kbtic Keepass i Directori UPC,Contingencia de CMDB Intranet Kbtic Keepass i Directori UPC,.,
by Category (KBTIC-RIN),Contrasenyes,Contrasenyes,.,
by Category (KBTIC-RIN),Correu Electrònic - Domino,Correu Electrònic - Domino,.,
by Category (KBTIC-RIN),Correu Electrònic - IIS,Correu Electrònic,.,
by Category (KBTIC-RIN),Correu Electrònic - Nous Relays,Correu Electrònic - Relays,.,
by Category (KBTIC-RIN),Correu Electrònic - PL,Correu Electrònic - PL,.,
by Category (KBTIC-RIN),Correu Electrònic - Relay CSPT,Correu Electrònic - Relay CSPT,.,
by Category (KBTIC-RIN),Correu Electrònic - Relays,Correu Electrònic - Relays,.,
by Category (KBTIC-RIN),Correu Electrònic - SOGo,Correu Electrònic - PL,.,
by Category (KBTIC-RIN),Correu Electrònic - Zimbra,Correu Electrònic - PL,.,
by Category (KBTIC-RIN),Correu electrònic,Correu Electrònic,.,
by Category (KBTIC-RIN),Correu K2,Correu Electrònic - PL,.,
